Matricule,Age,Qualification,Secteur d'activité,Objectif,Diplome,Genre,niveau_etude,qualification_metier,secteur_metier,Filière / Spécialité,Secteur demandé,Métier visé / Qualification visée,Mobilité géographique,mobilite_norm,text_profile
PPBZV2505120028006,24,etudiante,Divers,Emploi,Brevet d'Études du Premier Cycle (BEPC),Femme,Secondaire 1,Etudiant,Parcours Étudiant et Formation,Aucune,Non déclaré,Etudiante,Non déclaré,non déclaré,Etudiante Etudiant Aucune Emploi etudiante Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPBZV2505120028007,27,administrateur de systèmes et réseaux,Informatique - Cybersécurité - Infographie - Data - Intelligence Artificielle - Digitalisation,Emploi,Licence Professionnelle,Homme,Bac +3,Administrateur Systèmes & Réseaux,"Informatique, Data, Télécommunications & Digital",Réseaux et Télécommunications,Non déclaré,Administrateur de systèmes et réseaux,Non déclaré,non déclaré,Administrateur de systèmes et réseaux Administrateur Systèmes & Réseaux Réseaux et Télécommunications Emploi administrateur de systèmes et réseaux Licence Professionnelle Bac +3
PPBZV2505120028011,27,manœuvre,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Homme,Bac,Manœuvre,"Bâtiment, Travaux Publics & Aménagement du Territoire",Bac D,Non déclaré,Manœuvre,Non déclaré,non déclaré,Manœuvre Manœuvre Bac D Emploi manœuvre Baccalauréat Général Bac
PPBZV2505120028012,28,assistante en communication,Communication - Médias - Informations - Community Manager - Audiovisuel et Multimédia - Journalisme,Emploi,Licence,Femme,Bac +3,Chargé de Communication,"Communication, Médias & Événementiel",communication d'entreprise,Non déclaré,Assistante en communication,Non déclaré,non déclaré,Assistante en communication Chargé de Communication communication d'entreprise Emploi assistante en communication Licence Bac +3
PPBZV2505120028014,27,etudiant,Éducation - Formation - Enseignement,Emploi,Baccalauréat Général,Homme,Bac,Etudiant,Parcours Étudiant et Formation,Bac D,Non déclaré,Etudiant,Non déclaré,non déclaré,Etudiant Etudiant Bac D Emploi etudiant Baccalauréat Général Bac
PPPNR2504280026864,37,comptabilité et gestion d'entreprise,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Pas de diplôme,Femme,Bac +4/+5 et plus,Comptable,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Aucune,Non déclaré,Comptabilité et gestion d'entreprise,Non déclaré,non déclaré,Comptabilité et gestion d'entreprise Comptable Aucune Emploi comptabilité et gestion d'entreprise Pas de diplôme Bac +4/+5 et plus
PPBZV2505120028018,21,etudiant,Éducation - Formation - Enseignement,Emploi,Baccalauréat,Homme,Bac,Etudiant,Parcours Étudiant et Formation,Aucune,Non déclaré,Etudiant,Non déclaré,non déclaré,Etudiant Etudiant Aucune Emploi etudiant Baccalauréat Bac
PPPNR2504280026877,27,pâtissière,Agriculture - Agroalimentaire - Brasserie - Produits laitiers - Boulangerie,Stage,Pas de diplôme,Femme,Bac,Patissier,Hôtellerie-Restauration,Aucune,Non déclaré,Pâtissière,Non déclaré,non déclaré,Pâtissière Patissier Aucune Stage pâtissière Pas de diplôme Bac
PPPNR2504280026879,41,chauffeur,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Pas de diplôme,Homme,Secondaire 1,Chauffeur,"Transport, Logistique & Supply Chain",Aucune,Transport terrestre - Transport - Transport Maritime - Transport Aérien - Transport Fluvial,Chauffeur,Non,non,Chauffeur Chauffeur Aucune Transport terrestre - Transport - Transport Maritime - Transport Aérien - Transport Fluvial Emploi chauffeur Pas de diplôme Secondaire 1
PPBZV2505120028023,23,adjoint chef de service,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Emploi,Licence,Homme,Bac +3,Adjoint de Direction,"Conseil, Stratégie & Gestion des Ressources Humaines",Transport et logistique,Non déclaré,adjoint chef de service,Non déclaré,non déclaré,adjoint chef de service Adjoint de Direction Transport et logistique Emploi adjoint chef de service Licence Bac +3
PPPNR2504280026896,24,aide - mécanicien,Machines et équipements / Automobile,Stage,Pas de diplôme,Homme,Aucun,Aide-Mecanicien,"Industrie, Production & Maintenance",Aucune,Non déclaré,Aide - Mécanicien,Non déclaré,non déclaré,Aide - Mécanicien Aide-Mecanicien Aucune Stage aide - mécanicien Pas de diplôme Aucun
PPPNR2504280026898,28,électricien,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Pas de diplôme,Homme,Post-secondaire – Professionnel,Électricien,"Énergie, Environnement & Eau",Aucune,Non déclaré,Électricien,Non déclaré,non déclaré,Électricien Électricien Aucune Emploi électricien Pas de diplôme Post-secondaire – Professionnel
PPPNR2504280026900,35,conseiller commercial,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Pas de diplôme,Homme,Bac +4/+5 et plus,Management Commercial,"Commerce, Vente, Marketing & Distribution",Aucune,Non déclaré,Conseiller commercial,Non déclaré,non déclaré,Conseiller commercial Management Commercial Aucune Emploi conseiller commercial Pas de diplôme Bac +4/+5 et plus
PPBZV2505120028036,22,chauffeur,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat,Homme,Bac,Chauffeur,"Transport, Logistique & Supply Chain",Bac D,Transport terrestre - Transport - Transport Maritime - Transport Aérien - Transport Fluvial,Chauffeur,Non,non,Chauffeur Chauffeur Bac D Transport terrestre - Transport - Transport Maritime - Transport Aérien - Transport Fluvial Emploi chauffeur Baccalauréat Bac
PPPNR2504280026901,41,électricien,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Pas de diplôme,Homme,Post-secondaire – Professionnel,Électricien,"Énergie, Environnement & Eau",Aucune,Non déclaré,Électricien,Non déclaré,non déclaré,Électricien Électricien Aucune Emploi électricien Pas de diplôme Post-secondaire – Professionnel
PPPNR2504290026911,43,electricité indistruel,Énergie Renouvelable - Solaire - Éolien - Biomasse - Hydroélectrique - Électricité - Énergie,Emploi,Pas de diplôme,Homme,Bac,Électricien Industriel,"Industrie, Production & Maintenance",Aucune,Electricité-Electricité Industrielle-Electromécanique-Electrotechnique,Electricité Indistruel,Non,non,Electricité Indistruel Électricien Industriel Aucune Electricité-Electricité Industrielle-Electromécanique-Electrotechnique Emploi electricité indistruel Pas de diplôme Bac
PPPNR2504290026946,35,charpentier·(ère),Génie Civil - Construction - Bâtiment et Travaux - Architecture,Emploi,Pas de diplôme,Homme,Post-secondaire – Professionnel,Charpentier,"Bâtiment, Travaux Publics & Aménagement du Territoire",Aucune,Non déclaré,Charpentier·(ère),Non déclaré,non déclaré,Charpentier·(ère) Charpentier Aucune Emploi charpentier·(ère) Pas de diplôme Post-secondaire – Professionnel
PPBZV2505120028040,39,chef d'équipe,Génie Civil - Construction - Bâtiment et Travaux - Architecture,Emploi,Baccalauréat Général,Homme,Bac,Chef d'Équipe,"Conseil, Stratégie & Gestion des Ressources Humaines",Bac D,Non déclaré,Chef d'équipe,Non déclaré,non déclaré,Chef d'équipe Chef d'Équipe Bac D Emploi chef d'équipe Baccalauréat Général Bac
PPBZV2505120028041,40,hôtelier,Hôtellerie - Restauration,Emploi,Baccalauréat Technologique,Homme,Bac,Hotelier,Hôtellerie-Restauration,Informatique,Hôtellerie - Restauration,Hôtelier,Non,non,Hôtelier Hotelier Informatique Hôtellerie - Restauration Emploi hôtelier Baccalauréat Technologique Bac
PPPNR2504290026954,24,charpentier·(ère),Génie Civil - Construction - Bâtiment et Travaux - Architecture,Emploi,Pas de diplôme,Homme,Post-secondaire – Professionnel,Charpentier,"Bâtiment, Travaux Publics & Aménagement du Territoire",Aucune,Non déclaré,Charpentier·(ère),Non déclaré,non déclaré,Charpentier·(ère) Charpentier Aucune Emploi charpentier·(ère) Pas de diplôme Post-secondaire – Professionnel
PPBZV2505120028046,32,agent de sécurité,Sécurité et Gardiennage – Protection des Installations Stratégiques,Emploi,BAC Technique,Homme,Bac,Agent de Securite,"Sécurité, Sûreté & Défense",Economie,Non déclaré,Agent de sécurité,Non déclaré,non déclaré,Agent de sécurité Agent de Securite Economie Emploi agent de sécurité BAC Technique Bac
PPPNR2504290026969,30,administrateur de systèmes et réseaux,Informatique - Cybersécurité - Infographie - Data - Intelligence Artificielle - Digitalisation,Emploi,Pas de diplôme,Femme,Bac +4/+5 et plus,Administrateur Systèmes & Réseaux,"Informatique, Data, Télécommunications & Digital",Aucune,Non déclaré,Administrateur de systèmes et réseaux,Non déclaré,non déclaré,Administrateur de systèmes et réseaux Administrateur Systèmes & Réseaux Aucune Emploi administrateur de systèmes et réseaux Pas de diplôme Bac +4/+5 et plus
PPPNR2504290026979,24,gestion des ressources humaines,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Emploi,Pas de diplôme,Homme,Bac +4/+5 et plus,Gestionnaire de Ressources Humaines,"Conseil, Stratégie & Gestion des Ressources Humaines",Aucune,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Gestion des ressources humaines,Non,non,Gestion des ressources humaines Gestionnaire de Ressources Humaines Aucune Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim Emploi gestion des ressources humaines Pas de diplôme Bac +4/+5 et plus
PPPNR2504290026991,41,chauffeur et conducteur,Divers,Emploi,Pas de diplôme,Homme,Secondaire 1,Chauffeur,"Transport, Logistique & Supply Chain",Aucune,Non déclaré,Chauffeur et Conducteur,Non déclaré,non déclaré,Chauffeur et Conducteur Chauffeur Aucune Emploi chauffeur et conducteur Pas de diplôme Secondaire 1
PPPNR2504290026994,36,administrateur,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Emploi,Pas de diplôme,Homme,Bac +3,Administrateur/Gestionnaire de Fonctions Support,Fonction Publique & Administration,Aucune,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Administrateur,Non,non,Administrateur Administrateur/Gestionnaire de Fonctions Support Aucune Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim Emploi administrateur Pas de diplôme Bac +3
PPBZV2505120028054,35,comptabilité et gestion financière,Finance,Emploi,Licence,Homme,Bac +3,Comptable,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Gestion comptable et financière,Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable,Comptabilité et Gestion Financière,Non,non,Comptabilité et Gestion Financière Comptable Gestion comptable et financière Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable Emploi comptabilité et gestion financière Licence Bac +3
PPPNR2504290026997,43,tuyauteur/chaudronnier,Industrie pétrolière et gazière - Services pétroliers - Hydrocarbures,Emploi,Pas de diplôme,Homme,Post-secondaire – Professionnel,Tuyauteur Chaudronnier,"Industrie, Production & Maintenance",Aucune,Non déclaré,Tuyauteur/Chaudronnier,Non déclaré,non déclaré,Tuyauteur/Chaudronnier Tuyauteur Chaudronnier Aucune Emploi tuyauteur/chaudronnier Pas de diplôme Post-secondaire – Professionnel
PPPNR2504290027003,40,électricien,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Pas de diplôme,Homme,Post-secondaire – Professionnel,Électricien,"Énergie, Environnement & Eau",Aucune,Non déclaré,Électricien,Non déclaré,non déclaré,Électricien Électricien Aucune Emploi électricien Pas de diplôme Post-secondaire – Professionnel
PPPNR2504290027031,28,assistant qhse,"Environnement - Hygiène-Qualité - Sécurité - Extraction, Production et commercialisation d'eau - Collecte des déchets",Emploi,Pas de diplôme,Homme,Bac +3,Assistant QHSE,"Assurance Qualité, Contrôle, Testing (QHSE)",Aucune,Industrie,Assistant QHSE,Non,non,Assistant QHSE Assistant QHSE Aucune Industrie Emploi assistant qhse Pas de diplôme Bac +3
PPPNR2504290027034,39,agent logistique,Transit - Transport et Logistique - Génie Logistique,Emploi,Pas de diplôme,Homme,Bac,Agent Logistique,"Transport, Logistique & Supply Chain",Aucune,Transit - Transport et Logistique - Génie Logistique,Agent Logistique,Non,non,Agent Logistique Agent Logistique Aucune Transit - Transport et Logistique - Génie Logistique Emploi agent logistique Pas de diplôme Bac
PPBZV2505130028065,23,forestier,Exploitation Forestière - Bois - Produits forestiers,Stage,Licence,Femme,Bac +3,Agent Technique Forestier,Exploitation forestière & Bois,Sciences de l'Environnement,Non déclaré,Forestier,Non déclaré,non déclaré,Forestier Agent Technique Forestier Sciences de l'Environnement Stage forestier Licence Bac +3
PPBZV2505130028066,32,agent commercial,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Licence,Homme,Bac +3,Commercial,"Commerce, Vente, Marketing & Distribution",Commerce International,Non déclaré,Agent Commercial,Non déclaré,non déclaré,Agent Commercial Commercial Commerce International Emploi agent commercial Licence Bac +3
PPPNR2504290027038,29,droit des affaires,Droit et Justice,Emploi,Pas de diplôme,Femme,Bac +4/+5 et plus,Juriste Droit des Affaires,Droit et Justice,Aucune,Non déclaré,Droit des affaires,Non déclaré,non déclaré,Droit des affaires Juriste Droit des Affaires Aucune Emploi droit des affaires Pas de diplôme Bac +4/+5 et plus
PPPNR2504290027040,36,superviseur hse,Sécurité et Gardiennage – Protection des Installations Stratégiques,Emploi,Pas de diplôme,Homme,Bac +3,Superviseur HSE,"Assurance Qualité, Contrôle, Testing (QHSE)",Aucune,Non déclaré,Superviseur HSE,Non déclaré,non déclaré,Superviseur HSE Superviseur HSE Aucune Emploi superviseur hse Pas de diplôme Bac +3
PPBZV2505130028084,30,chauffeur,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Licence Professionnelle,Homme,Bac +3,Chauffeur,"Transport, Logistique & Supply Chain",Géographie,Non déclaré,Chauffeur,Non déclaré,non déclaré,Chauffeur Chauffeur Géographie Emploi chauffeur Licence Professionnelle Bac +3
PPBZV2505130028085,35,agent administratif,Divers,Emploi,Bac +2,Homme,Post-secondaire – Professionnel,Agent Administratif et de Secrétariat,Fonction Publique & Administration,Comptabilité,Non déclaré,Agent Administratif,Non déclaré,non déclaré,Agent Administratif Agent Administratif et de Secrétariat Comptabilité Emploi agent administratif Bac +2 Post-secondaire – Professionnel
PPBZV2505130028086,42,agent de sécurité,Sécurité et Gardiennage – Protection des Installations Stratégiques,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Agent de Securite,"Sécurité, Sûreté & Défense",Aucune,Non déclaré,Agent de sécurité,Non déclaré,non déclaré,Agent de sécurité Agent de Securite Aucune Emploi agent de sécurité Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
